Date,BTC-USD,GLD,SPY,TLT
2014-10-15,0.25,0.25,0.25,0.25
2014-10-15,0.24684002432854024,0.25152615742932044,0.24898014563403034,0.25265367260810895
2014-10-16,0.24127625836957264,0.2543265215247252,0.25105120987064616,0.253346010235056
2014-10-17,0.24159960841949704,0.25338069616019626,0.2535440282835594,0.2514756671367474
2014-10-20,0.23994301672335927,0.25395544378182644,0.2548456666293015,0.25125587286551276
2014-10-21,0.2408307989718574,0.252975390774054,0.2583682374622668,0.24782557279182185
2014-10-22,0.23997634489008557,0.2528248805321548,0.25783679578790064,0.249361978789859
2014-10-23,0.2278316374074806,0.25542464415394234,0.26532817652172497,0.251415541916852
2014-10-24,0.2273598506715557,0.25458098846429034,0.26686204846040823,0.25119711240374565
2014-10-27,0.22482502202338503,0.2549646368518957,0.2675530016648357,0.2526573394598835
2014-10-28,0.22673787950664076,0.2539129367580159,0.26939696518693196,0.2499522185484112
2014-10-29,0.21619705219716556,0.25481858506473953,0.2738963716871435,0.25508799105095126
2014-10-30,0.22116126434349662,0.25076768797879545,0.2741530227680596,0.25391802490964827
2014-10-31,0.21830798330963538,0.247083751591184,0.27940216888958225,0.25520609620959833
2014-11-03,0.21295729453465437,0.2479535758996531,0.2818173240286796,0.2572718055370129
2014-11-04,0.21445665543647854,0.2476437820940694,0.28031202148922224,0.25758754098022985
2014-11-05,0.2198335597590402,0.24180300786594452,0.2815886268551506,0.25677480551986465
2014-11-06,0.2247622224626168,0.24057758476609167,0.28105053692678983,0.25360965584450185
2014-11-07,0.21911893126858759,0.24593060687541232,0.2798125533451957,0.25513790851080453
2014-11-10,0.23237374737543154,0.23846206719708077,0.2784236140496215,0.2507405713778663
2014-11-11,0.23186072373447333,0.24080941505405404,0.2774985609683786,0.2498313002430941
2014-11-12,0.0,0.0,1.0,0.0
2014-11-13,0.0,0.0,1.0,0.0
2014-11-14,0.0,0.0,1.0,0.0
2014-11-17,0.0,0.0,1.0,0.0
2014-11-18,0.0,0.0,1.0,0.0
2014-11-19,0.0,0.0,1.0,0.0
2014-11-20,0.0,0.0,1.0,0.0
2014-11-21,0.0,0.0,1.0,0.0
2014-11-24,0.0,0.0,1.0,0.0
2014-11-25,0.0,0.0,1.0,0.0
2014-11-26,0.0,0.0,1.0,0.0
2014-11-28,0.0,0.0,1.0,0.0
2014-12-01,0.0,0.0,1.0,0.0
2014-12-02,0.0,0.0,1.0,0.0
2014-12-03,0.0,0.0,1.0,0.0
2014-12-04,0.0,0.0,1.0,0.0
2014-12-05,0.0,0.0,1.0,0.0
2014-12-08,0.0,0.0,1.0,0.0
2014-12-09,0.0,0.0,1.0,0.0
2014-12-10,0.0,0.0,1.0,0.0
2014-12-11,1.0661140995155766e-14,5.88718198926761e-15,0.9999999999999835,0.0
2014-12-12,1.0900495420742673e-14,5.970437829532773e-15,0.9999999999999831,0.0
2014-12-15,1.0749764480110276e-14,5.855218874437469e-15,0.9999999999999833,0.0
2014-12-16,1.0247552542822665e-14,5.931573597478476e-15,0.9999999999999837,0.0
2014-12-17,9.825914187124931e-15,5.78408208739492e-15,0.9999999999999843,0.0
2014-12-18,9.336901743186673e-15,5.689472810351175e-15,0.999999999999985,0.0
2014-12-19,9.487950128546155e-15,5.6466910101137136e-15,0.999999999999985,0.0
2014-12-22,9.852934668448739e-15,5.511105289464297e-15,0.9999999999999848,0.0
2014-12-23,9.918977471749371e-15,5.512965449415723e-15,0.9999999999999847,0.0
