,portfolio_value
0,100000.0
1,99172.92526495423
2,97639.91167407404
3,97877.7638178138
4,98131.36604472638
5,98894.79213578303
6,98202.4505958558
7,94943.50180004137
8,95015.74224722832
9,94259.4664263345
10,94988.42729669153
11,91721.75254789054
12,92703.83275905806
13,91351.51919512155
14,89875.85849565158
15,90214.88778801667
16,90786.85126384358
17,92038.2928771417
18,92019.77391861305
19,94312.05462873788
20,94822.24734475494
21,101081.3389998211
22,100807.36876359735
23,98651.88452131237
24,97256.1166281399
25,96100.85093946631
26,96344.15854382685
27,93838.30282323499
28,93229.36780003252
29,96266.96192173069
30,96175.11233423545
31,95320.39729348024
32,95514.61879016501
33,96813.18360950753
34,96755.43863251236
35,96365.36678391592
36,95614.3493599449
37,96115.3979902132
38,94553.5112777463
39,93978.85531770982
40,92976.64659722005
41,93510.06818281474
42,93489.2076098232
43,91717.03182278537
44,89519.1481985743
45,88715.49490973983
46,88209.2624588343
47,89022.77483045158
48,90201.30429618896
49,90490.22449838292
50,89047.55946166563
51,90278.50619722214
52,88162.42399786683
53,88235.32116203864
54,88790.65637243034
55,88338.52355011161
56,83324.10058727355
57,84963.06258391251
58,85932.66189163119
59,84689.75476301505
60,85774.31932243616
61,83204.1060134361
62,77656.538744848
63,71300.98907859347
64,75266.41108772863
65,75602.04800972091
66,76483.8290810915
67,78180.91135564068
68,79363.8262535432
69,79038.02140127594
70,82898.17431761943
71,81923.7340981916
72,78120.97020421745
73,77511.6295435323
74,77291.22058573905
75,78457.08609493331
76,77003.35075265994
77,77038.07413707073
78,76113.57847295543
79,75719.86279504134
80,75535.51907374298
81,75460.29599327655
82,75055.29503736658
83,75541.3606337831
84,77150.75536290312
85,77467.64557428393
86,76783.89473599446
87,77060.25833822167
88,77384.673695072
89,76946.48847846704
90,77003.72695894541
91,76985.71518908034
92,76871.45991083221
93,78693.14035520425
94,80834.0694935065
95,81332.91908732052
96,80234.40312083717
97,80547.67349643863
98,79020.49284364286
99,80920.42722917603
100,80806.46313377391
101,81127.90442786824
102,81105.85967931482
103,80047.70928473693
104,80856.03964743172
105,80150.05557641004
106,77692.45933709569
107,78055.21337678374
108,78637.25989962883
109,79303.02910760947
110,76989.88498513047
111,76799.50375753443
112,77108.18579364744
113,76946.92872123182
114,76842.51435474584
115,76332.80500158551
