,portfolio_value
0,100000.0
1,99727.92821753591
2,98820.2977711108
3,98997.63245842344
4,99443.68967219657
5,100012.09669795397
6,99503.04468090026
7,97811.20814625078
8,97994.483955036
9,97606.97511007298
10,98044.46280583234
11,96287.88829838717
12,96812.49161378028
13,96073.81727031068
14,95302.41295711225
15,95481.17289391455
16,95646.78619953153
17,96212.74950752927
18,96728.77901022487
19,97516.83282110642
20,97937.74656567404
21,101230.04228647824
22,101165.31140623623
23,100340.17135213078
24,99507.06432418438
25,99116.67326941817
26,98968.86997192909
27,97854.6841525244
28,97785.98577655533
29,99464.97359751668
30,99609.29976932777
31,99231.26114036654
32,99223.70341330633
33,100042.18293454555
34,99775.13980436069
35,99809.81501313785
36,99535.23167619521
37,99580.49487414067
38,99011.98908310352
39,99003.01292788892
40,98352.1641200936
41,98808.83049866404
42,98824.44489573884
43,97451.49248807179
44,96347.59456930969
45,95919.50046201645
46,95647.25075531434
47,96454.53414380907
48,97109.23096327468
49,96871.97334127253
50,96146.2727209495
51,97121.79340365829
52,95992.88834272427
53,96103.35959944082
54,96216.93234704275
55,96216.5578918904
56,93447.51472462786
57,94747.6473497119
58,95413.19037369877
59,94615.33138342082
60,95453.10069830967
61,93723.15321145554
62,89840.61006687881
63,85518.47465063588
64,88551.78337222047
65,88723.93280675384
66,89679.2043336097
67,90675.17669583744
68,91632.90333816418
69,91590.22901620297
70,94188.73109935193
71,93421.12028769903
72,90936.85809107851
73,90410.55030344983
74,90546.35002905542
75,91392.3638729728
76,90072.4775035079
77,90099.45454275438
78,89363.61863585368
79,88596.14487277165
80,88395.43549671028
81,88284.49914953581
82,88011.08448370532
83,88459.53218551232
84,89775.50139798241
85,89920.26198237448
86,89369.22676785503
87,89529.1656597977
88,89951.91830790842
89,89726.00429657022
90,90025.41120779504
91,90054.86267794766
92,89688.8884949116
93,91489.41927846034
94,93223.44350819764
95,93606.05653446152
96,92579.90704360588
97,92862.32161196122
98,91127.35717462191
99,93060.80462292276
100,93079.25607646152
101,93407.36547761018
102,93515.76032276666
103,92602.36889741373
104,93536.57213167376
105,93125.94830061944
106,91854.35101266527
107,91967.93515115225
108,92634.22054515101
109,93099.15525138218
110,91511.88177304051
111,91034.1654307597
112,90937.03469575164
113,91078.49607667791
114,91006.9565685992
115,90569.21134436908
116,91440.28804850981
117,91644.72894647127
118,92155.08265339826
119,91988.18727201005
120,91287.71765329776
121,90799.25689432022
122,90493.0314749093
123,89159.28310995342
124,88713.08797680147
125,89421.45458437572
126,89658.14568091284
127,89225.85554782327
128,89217.41367346387
129,90182.78249833957
130,89538.38296928746
131,90066.35778071589
132,89451.29239465829
133,89615.85362701182
134,89253.48210183579
135,88717.955942953
136,89054.27308927642
137,88546.88500034496
138,89241.5329659468
139,88738.151917518
140,87667.7910677013
141,88572.2980588157
142,89639.14406611497
143,88736.61272077904
144,88811.60330229056
145,88574.33786524189
146,89034.80219052092
147,89620.25198288418
148,88883.40080395201
149,88255.36112639295
150,88508.63277939465
151,88924.35992209676
152,89334.04023547207
153,88826.4967197805
154,89098.99359811397
155,89055.9469770832
156,88951.05842390888
157,87345.10507896316
158,87372.86081902392
159,86928.68024636437
160,86714.36777524489
161,86355.6540139773
162,86600.92872523118
163,86529.74801224022
164,86759.56076772012
165,87254.29258391642
166,87107.52038243084
167,87796.24551664325
168,89323.52957534707
169,89136.20054081212
170,89508.95322075888
171,89217.77422403726
172,88825.21283226111
173,88307.3072058034
174,87903.24455903121
175,87952.37171852768
176,87808.05912150917
177,89256.2865676558
178,89587.90551027068
179,88960.8771832306
180,88657.36121738383
181,90207.08790121174
182,90051.44591134397
183,90329.74475669915
184,89830.22775301604
185,91089.35464938589
186,91776.30822904382
187,91496.0678893471
188,91465.1305207824
189,91041.16869828846
190,91074.60120674048
191,90355.20676018893
192,90047.96133811574
193,90154.62489481132
194,90114.85364955953
195,91173.22545829638
196,91527.37159587775
197,91727.53701640082
198,91403.45010709409
199,91244.74771257432
200,91245.47316433728
201,90945.48656859307
202,91080.60666626807
203,90631.36884466377
204,90478.2246349498
205,90870.27650023399
206,89849.96440392088
207,90589.02060115793
208,90487.49961101412
209,90006.00539230047
210,90267.57017127985
211,89933.92576289321
212,85543.76080667437
213,87075.8364437108
214,87902.87273311011
215,87230.0808283361
216,84365.60913584683
217,84280.26775249117
218,84588.9065664191
219,85046.21466488509
220,85828.89521141413
221,85381.3081475844
222,84783.99205960374
223,84979.48637553869
224,84747.77539510439
225,84838.65023764501
226,86237.87387576037
227,85268.4160984518
228,85315.39983742234
229,85650.83400366777
230,84724.00124941516
231,84477.81869543763
232,84746.76015151692
233,85233.80207379468
234,85650.30793456327
235,84720.7095399201
236,84912.03674212738
237,84930.45529079817
238,85831.94707983892
239,85561.82584976783
240,85484.55826213254
241,85247.93370933797
242,85290.75373042795
243,85545.42357701737
244,86416.60879904212
245,86743.63905747802
246,87473.1687716805
247,87275.68468917586
248,87130.00115377658
249,87682.0307804858
250,88073.22805997991
251,88444.8712349369
252,89123.09595137007
253,89466.72080883879
254,90170.59536337804
255,90080.84578599599
256,90590.4084483422
257,90172.82164341131
258,91267.02595286473
259,91518.91386935533
260,92361.54692251272
261,93097.65434739705
262,93938.11309966967
263,94069.98292236085
264,95171.9869433494
265,97743.13143256448
266,100497.77702593917
267,100886.73185035921
268,98656.32995980798
269,97027.57293430105
270,97202.39134088678
271,93599.56467287849
272,91272.21773170917
273,93101.76731974272
274,92800.0771057129
275,92675.81165130941
276,92749.50127619613
277,93135.70507116152
278,92825.85535620572
279,92417.77838162646
280,92367.5639632312
281,92329.22021705474
282,92846.64128395796
283,94615.7941911594
284,96098.7803741818
285,95634.11390975
286,94805.72611849038
287,94204.49678642766
288,95499.08982457922
289,97476.32910211294
290,98754.1343974033
291,98646.70238912615
292,98567.68905952632
293,101084.66556997359
294,100037.61290466804
295,101527.42218370886
296,101342.76135679534
297,100818.0674555152
298,101412.36662759037
299,100031.46660842668
300,99795.06871261324
301,100160.11515965205
302,101148.05224529786
303,99035.01245945742
304,99468.60900594597
305,98707.98059934507
306,98797.67707406385
307,99111.51331374576
308,99058.73743947195
309,99272.87278732735
310,100677.52804985332
311,100137.71397289692
312,99379.95843565294
313,99063.0255121934
314,98646.38915929885
315,98248.76474653654
316,94320.63436575048
317,95112.54293395311
318,97547.14959067761
319,96966.29915989297
320,95615.12949839697
321,96188.56407531942
322,96819.48315170944
323,96819.05790096235
324,95778.04468460122
325,96594.69283698121
326,96356.48798864329
327,96455.58070619871
328,96372.90418894863
329,98021.84087868556
330,97793.06259551294
331,97507.76241942054
332,97639.0638641498
333,98386.47342242098
334,99160.85885679089
335,99326.75633091717
336,100026.96338897203
337,100963.16003558988
338,102169.94954171123
339,101919.01257395718
340,102805.96688386984
341,101942.5147375134
342,102340.1891663074
343,102783.90998004671
344,102735.47841227078
345,103305.83761870395
346,103096.75684335316
347,102858.08534862574
348,103367.72077144691
349,102611.20295343087
350,102954.9462223774
351,102796.85271096675
352,102598.62482402158
353,103071.69666530771
354,103032.95698949187
355,102422.79705182395
356,102445.7941976964
357,103263.15116458925
358,103644.82882935848
359,103072.72215046769
360,102947.56289970738
361,103295.1740402623
362,102820.78850594038
363,102656.12552503527
364,103247.10057723045
365,103732.45669886122
366,103099.09774720322
367,103455.61407417496
368,103621.94136881735
369,103600.39003372718
370,104111.25497321895
371,104001.57306708558
372,104330.18034808387
373,104041.11347363434
374,104422.49336286596
