,portfolio_value
0,100000.0
1,101371.52147526441
2,101831.36565047297
3,101881.43290863938
4,101751.09385998506
5,101117.92330923762
6,102811.89756819051
7,103932.7563306888
8,103677.03402164637
9,103476.48481074112
10,104646.8554097006
11,104586.73455647174
12,104135.02890431197
13,105359.80134470681
14,105664.83642152837
15,105343.84438342418
16,105238.5970876378
17,105183.52117753026
18,104197.40054299957
19,104437.45221688133
20,104026.03853900355
21,102641.96037635667
22,101560.72820235475
23,103020.97028735631
24,102956.86006078358
25,104514.83868321081
26,104459.6528668821
27,104808.40645191078
28,104707.87255638646
29,104841.38480433286
30,104837.85477493661
31,104947.95547298413
32,104549.39094082687
33,105559.8965554184
34,104526.94454118951
35,102990.21547469658
36,104930.95492311836
37,104366.89597660344
38,103696.91187298768
39,102918.19528605197
40,103177.69485364757
41,108134.87091588274
42,107071.1516144975
43,110758.51944708162
44,109632.21394821472
45,109252.55378695395
46,109787.94029025968
47,106042.58753579593
48,106029.51054378919
49,107401.91985398259
50,109347.67341248895
51,103834.53203769485
52,105933.18541455896
53,104637.34237677888
54,104926.95748675003
55,104841.21912102803
56,104717.9848966946
57,103811.26513358965
58,107478.46397464046
59,106325.33366025917
60,105606.67492701032
61,102494.79770284676
62,101711.02348771605
63,101224.08825587202
64,84376.97806280733
65,87963.03918444428
66,96780.36276214175
67,94457.02989012375
68,87836.7053249748
69,89932.04114237278
70,90030.01840576982
71,90674.87908590694
72,87239.81143532235
73,87052.64599943317
74,85567.742099804
75,85886.43013037406
76,84848.25522016664
77,89238.30259116093
78,88538.09528766923
79,85485.07170027857
80,86074.07894285972
81,87350.99285281346
82,86893.18509943297
83,87941.71869030756
84,93102.51560089657
85,95099.32966667501
86,96471.59385572643
87,96108.20916450334
88,99906.53503754441
89,95946.45684811375
90,96903.78265054258
91,96810.02022869569
92,98529.5336855057
93,99785.73328261886
94,99197.18182756384
95,96625.8744713839
96,96091.5736035753
97,93618.83124130014
98,94386.1589654572
99,94306.61329811258
100,94508.69129150313
101,95024.63986951578
102,96057.56748255457
103,94853.68856729589
104,94942.93353453318
105,94984.15158118408
106,95802.8796676216
107,93247.04342683917
108,94098.99989620467
109,95181.4797921976
110,95170.5506155972
111,94794.86287827579
112,96562.42035981997
113,94790.18769105237
114,94402.51632057334
115,94836.86875923543
116,95116.59711290915
117,95906.178688857
118,96492.86500044643
119,96352.35635798554
120,96200.22562673637
121,95653.43965280672
122,96137.81882474535
123,96751.84340585972
124,96419.96397704106
125,96544.58083908416
126,97772.55207551953
127,97516.92756269476
128,99078.40526860356
129,100407.15782992741
130,102218.74100438497
131,101376.4718793849
132,104883.34684870037
133,105937.93806550853
134,100958.23103209844
135,101935.17007623771
136,103307.54303650156
137,100912.83799639707
138,102183.60095228661
139,101367.51827239584
140,101651.67632839634
141,104256.33560265726
142,104455.76503102845
143,102257.86215729889
144,102672.72481629919
145,103133.87781823808
146,103338.69253782119
147,102996.3582443538
148,102910.14359717285
149,103099.55919888994
150,99428.21605828495
151,100321.88906710452
152,100656.51111896691
153,101069.47704668704
154,101886.0931446073
155,102740.24320841487
156,107192.63579592509
157,119564.03848993876
158,120802.77143329037
159,121039.23201887016
160,127867.63436687565
161,131487.32176227635
162,129464.28449714725
163,130592.79534727316
164,129008.18685341177
165,129644.20732222199
166,155398.7847971248
167,151190.94673827765
168,153143.26361700855
169,168218.17188033974
170,164354.75899223602
171,161770.61493397877
172,145492.22442010857
173,129221.41994802197
174,135124.01749591567
175,143788.58679627316
176,141605.65340132097
177,139806.238043466
178,138261.17018716133
179,145305.52161430422
180,145942.6819788624
181,144714.17098803897
182,146153.63546396146
183,137996.1972424463
184,143478.6107260735
185,139359.2903065927
186,142947.42201274165
187,140761.90686521665
188,141536.20307305787
189,142645.29055487437
190,144748.3541238961
191,144696.30283397046
192,143144.1937350818
193,142999.40904746117
194,139870.4567614165
195,140616.16063439735
196,140118.03886612042
197,140669.0115571327
198,140815.75902141034
199,141235.8434403973
200,129888.50899467892
201,116635.97099267623
202,120592.55166561388
203,123107.23084166912
204,122414.27577037968
205,125776.08254954821
206,125081.93534100993
207,125994.05207351729
208,125357.6860198048
209,125025.0885724691
210,120624.9274914509
211,122774.50912077425
212,121873.31488900389
213,122107.38757881503
214,122386.01999216995
215,124728.34524175386
216,124016.7449581842
217,123327.59983210283
218,122811.89381685415
219,123212.98951515573
220,122028.86103044372
221,122748.56777475445
222,122316.11551252361
223,121640.6842758943
224,122326.12492040504
225,129527.45381471785
226,130396.21078662408
227,132870.4088431189
228,132135.42478025195
229,128997.34389235065
230,129208.8381277821
231,129514.50863973628
232,128763.90550362342
233,128725.30016678883
234,129202.43048189803
235,129008.23972976195
236,126618.84121370342
237,126438.26457310098
238,127818.28867703046
239,128916.31758697209
240,128517.7405095661
241,128212.49977816798
242,128416.92568310007
243,129271.04807133516
244,129778.4575486958
245,129368.8406448499
246,129857.02499235998
247,129965.10598192902
248,130831.43807785898
249,131227.9280577243
250,135826.96814654436
251,134789.06294716208
252,134914.8528943599
253,135673.7416946512
254,135422.4495027213
255,135160.97412929195
256,133575.43951110437
257,133646.80849490417
258,134063.7148964794
259,138426.57080663732
260,139234.53823680602
261,143553.17230025603
262,145655.9492926626
263,145938.8152776543
264,148315.02722535562
265,154291.09224018478
266,156606.82080602422
267,145180.15736938964
268,148212.29090493068
269,148190.36964460387
270,149599.31951101706
271,152402.19204213182
272,150762.7031924754
273,150947.37654428638
274,148528.2251234703
275,149911.7800725789
276,156622.49754641627
277,155943.13900645653
278,158159.83444124053
279,155542.14604315895
280,158067.23923184277
281,156640.13232607223
282,156019.36311587616
283,154786.7987243204
284,154742.83019224703
285,156850.3256196605
286,159164.3961040079
287,163555.71930125038
288,159458.9683160473
289,160615.76024435065
290,161435.00976595777
291,161996.85019857748
292,162413.28258767398
293,163938.8131558728
294,164037.3576030948
295,164231.63285574727
296,163517.0255756863
297,164943.80521993584
298,166576.2986383546
299,168282.64161563438
300,175159.37440647685
301,181399.82386762617
302,193069.3346170417
303,195403.44933609088
304,204150.5414443876
305,203642.83765519984
306,201062.12480524633
307,217637.57682392266
308,239610.3417155227
309,208323.16135747853
310,184114.08485295318
311,184241.99653022952
312,185229.30283008862
313,156615.70081806064
314,161975.38219098264
315,165784.24907178537
316,181869.45896006576
317,177547.89896982478
318,180024.69703101707
319,179212.52261078815
320,184341.6427574887
321,178583.3512822714
322,180346.0749070294
323,183527.32285918642
324,183959.63744885992
325,184086.00446750203
326,193828.32232389474
327,197512.2491587452
328,202009.32502603845
329,205593.0799731868
330,207231.42111235115
331,211811.51594754762
332,212154.4892720421
333,197983.8980870642
334,196843.95092529475
335,197235.391680983
336,199985.18833921282
337,200567.64045030408
338,204502.39053159158
339,208204.67286851388
340,221519.2363228559
341,221943.85138500688
342,231522.07479586225
343,232899.11939710987
344,234143.92605973786
345,234143.92605973786
346,242434.71727892512
347,248023.63524297337
348,252732.88354745472
349,252304.35106941854
350,242339.74086163874
351,227317.97613892602
352,234801.6574476679
353,220176.3800342256
354,241792.89468064977
355,243373.5954206445
356,245252.46666300384
357,232813.2208197464
358,214981.56879282327
359,205800.0054591566
360,218353.83104904604
361,203977.42531098903
362,201915.8654970515
363,181243.48530325288
364,201048.07731198525
365,201313.20676055783
366,199928.09680728056
367,197308.03433604844
368,205840.29862760953
369,219227.0528939072
370,217193.67032051738
371,215564.2565140006
372,226384.63544643886
373,225275.52925026434
374,227225.23261355772
375,230622.07720129454
376,229732.32910194938
377,223703.77632127114
378,228366.9853485232
379,231739.03986304151
380,231474.95537758552
381,235041.02467382836
382,233692.81293063692
383,239005.52627281132
384,241920.39646578365
385,244882.4810811798
386,251789.90731950672
387,251550.9457997796
388,270875.46363267093
389,276759.8207088139
390,283770.1579159669
391,292689.56884937425
392,296054.4888695108
393,326401.6120931916
394,332408.67437057366
395,338371.0981177907
396,349808.4994830392
397,325452.7433438316
398,328120.17678711
399,327368.090611559
400,346545.48796844995
401,355760.6299872089
402,373947.4341564777
403,407344.4977715526
404,434007.4165605795
405,456463.1846245621
406,429798.1136047994
407,410235.7360693096
408,405184.91341936
409,425338.05888757214
410,447355.1646862234
411,462097.1222544063
412,497518.9031142747
413,529153.7546621733
414,504364.2821160456
415,517746.1343650396
416,521092.05191971094
417,489878.5930126295
418,500336.87753088603
419,459959.6111180333
420,452225.80481838377
421,462023.6809924472
422,474875.3910506513
423,498517.682158266
424,492494.0107527731
425,495472.04226823937
426,502653.8183684484
427,451325.36872476013
428,464603.50460062263
