,portfolio_value
0,100000.0
1,100415.81286001248
2,100659.79242355461
3,100546.26128251996
4,100171.83380918759
5,100355.18731192833
6,101280.66670723051
7,101398.8924484169
8,101610.49573907984
9,101639.04365580279
10,102009.05197106101
11,101161.8003121441
12,101323.7753278404
13,101686.27926938469
14,101414.85053520204
15,101319.46505691858
16,101134.78476638698
17,100361.72840812548
18,99607.93210030063
19,99869.7658225878
20,99567.753566188
21,98347.42047993146
22,97460.67090891828
23,98722.57620942773
24,98682.30878962645
25,100055.23717638559
26,100069.48730606792
27,100343.6580121516
28,100285.17537720728
29,100400.32103177765
30,100418.9847267842
31,100505.27695600122
32,100196.4782377009
33,101200.05352910818
34,100305.42604061222
35,98710.18347776527
36,100477.08635473669
37,100078.17259416357
38,99500.39206012436
39,98813.10853712713
40,99051.10103802143
41,100975.65833482656
42,100618.57296941396
43,103061.1721120258
44,103091.05924928945
45,102214.79756948723
46,101725.37873379978
47,100078.7879032044
48,100454.56817892106
49,101727.73669310818
50,102718.98369197475
51,99633.94826011886
52,101242.77695065182
53,100223.849815595
54,99956.98865098525
55,99313.90608444452
56,99317.69044855169
57,98287.97812046757
58,99278.63243508936
59,98200.52983877639
60,97859.04220180729
61,94921.87776302944
62,94196.01340786339
63,93745.05582180506
64,78142.70945645428
65,81463.81123984088
66,89629.65896672539
67,87477.98762512329
68,81346.81167074412
69,83287.33172433924
70,83378.06984986531
71,83975.28442100504
72,80794.01982080698
73,80620.68327080524
74,79245.49282592931
75,79540.63430589021
76,78579.16587888716
77,82644.85066741233
78,81996.37880776229
79,79168.93060292628
80,79714.41851777559
81,80678.14273130901
82,80590.00691528343
83,80774.30986977894
84,83613.8623890848
85,84623.26705055498
86,85780.92003366166
87,85591.95188328162
88,87810.74313674629
89,85632.15760512912
90,86138.98114146088
91,86188.48580279846
92,86916.06315132897
93,87776.68038000028
94,86905.31259593336
95,85538.90176701861
96,85332.13000238627
97,83695.36650145757
98,84139.62976473174
99,84406.56412523446
100,84351.33943244984
101,84780.55531657925
102,84310.40562157275
103,83681.51654840354
104,83755.23867628838
105,84465.81945474306
106,84717.00703376275
107,83945.09794123763
108,83788.39868605805
109,84185.19222617718
110,83855.63976597578
111,83688.8876597565
112,84310.30434397889
113,84603.49785959984
114,83792.69792025963
115,84247.13527773842
116,84233.13279639819
117,84295.46335774042
118,85135.92211968331
119,84713.55989886673
120,85415.84138707204
121,84924.28941938892
122,85240.42455322141
123,85265.42085620377
124,85119.49207159306
125,84844.49211548227
126,85715.52019229416
127,85446.45110990683
128,86165.8243137127
129,86271.69435378173
130,86843.82515350256
131,86265.96237901467
132,87558.35691194463
133,87862.4398645113
134,86304.89612911882
135,87059.37933432873
136,87928.07172560427
137,86582.84594004377
138,87492.51971867678
139,87279.20898171261
140,87608.60110552568
141,88461.62073683996
142,87998.60581690536
143,87463.74997290548
144,88019.87689378479
145,87786.02975619245
146,88258.96790837262
147,87928.61878245673
148,88054.11815761183
149,87173.70866417595
150,86208.6567318648
151,86450.6479831139
152,86528.94575543235
153,86014.18499616471
154,86059.1270096618
155,86349.54513581556
156,87316.81477851573
157,90855.93331895501
158,91260.99045931235
159,91468.08375229921
160,94453.70394220616
161,95112.59093523375
162,94687.38478206654
163,95582.28237432196
164,95574.45850380439
165,95984.9558454049
166,102557.74834990366
167,101658.38144820913
168,102455.5361677604
169,105560.44211677398
170,104984.99795248873
171,103887.97334680878
172,99669.63895145606
173,96100.34144399529
174,96992.77342473736
175,101297.52461877029
176,101749.08868188402
177,101077.42012545421
178,100632.42396640831
179,102618.68719359454
180,103741.12891555861
181,103981.3804687616
182,104587.46267453594
183,102781.7095927875
184,104559.01255421981
185,103193.94492962041
186,103072.01086593629
187,103235.93661151089
188,102811.77347205525
189,102655.19819453344
190,103147.35484269078
191,103329.26323511945
192,102476.44050188316
193,102899.74246321832
194,102143.18149259908
195,102035.43634534064
196,102108.18310350503
197,103043.06742011513
198,102949.4116902587
199,103611.53374391426
200,100932.47637632869
201,98116.24158027566
202,98917.08057422013
203,99686.09941079642
204,99039.10283032605
205,99729.56071362384
206,99952.3927833368
207,100286.04204852867
208,99876.71677922056
209,99945.33333073069
210,98987.48321098907
211,99356.10220390113
212,99374.78228219475
213,99635.06967113592
214,99303.80182807117
215,99949.43652066702
216,99880.00175654703
217,99275.20798365676
218,99038.38177364161
219,98892.70567358033
220,99153.92051464021
221,98913.04505227477
222,98741.39142078902
223,98734.11254763833
224,99032.98634118699
225,101160.03205289361
226,101222.61773966477
227,101191.07028407877
228,99850.93607232712
229,99595.05834833374
230,98825.17060734647
231,98995.53199280382
232,98831.63446880225
233,98866.17617464559
234,98932.92074597727
235,99006.99259957577
236,99383.1935055133
237,99759.04271808172
238,99886.17565753058
239,100036.2705712833
240,100113.4674449126
241,100044.56889286693
242,99890.5583234924
243,99934.88970563102
244,99826.52550955636
245,98444.96282162021
246,98492.86433008933
247,98163.47848487057
248,98275.6532561342
249,98418.41680032977
250,98787.25590201154
251,98694.28812727993
252,98788.6839631487
253,98453.60663809642
254,98544.93318720793
255,98882.88398432836
256,98820.43836721576
257,98737.88167244762
258,98881.87373275936
259,99628.17375204539
260,99942.84636727224
261,100357.79279580893
262,100429.13792423769
263,100465.81052330422
264,101103.76689714006
265,102103.5630245502
266,102631.97522619259
267,100581.03216710663
268,101321.00442940739
269,101193.31998456504
270,101338.83377152125
271,100965.53955335933
272,100002.65142544535
273,99275.15374210048
274,98537.26198121575
275,99293.11132231772
276,100506.31282786862
277,100024.2661699505
278,100030.84334940335
279,99960.30974533627
280,100397.86678706076
281,99468.52286583473
282,99305.77321345478
283,99314.2416958866
284,99264.96599358972
285,99038.48105401339
286,99209.86598667884
287,100279.00530223963
288,99531.58783920188
289,99806.66172065592
290,100540.37871219826
291,100532.9715065429
292,100351.37803734947
293,100733.21248638179
294,100886.63290818039
295,100112.06335451933
296,99738.70830893556
297,100117.23376431777
298,100735.39057955344
299,100889.38386520348
300,102105.31182391627
301,103156.79234135365
302,105527.63685579157
303,106244.79317637124
304,107633.94790265472
305,108004.95494704177
306,107194.22156842085
307,110691.45825545402
308,114765.5019708119
309,110328.89518260233
310,105914.34876191181
311,106111.60631648546
312,106451.51563870578
313,101179.82092003753
314,102370.8558981179
315,103341.28231210494
316,107053.04537323593
317,105980.74091472774
318,106311.66804138159
319,106368.1132799606
320,107517.81178542145
321,106466.04098294045
322,106828.49755326113
323,107087.67560483966
324,107188.0859483473
325,107141.16513727517
326,109519.79802773593
327,110117.33277594039
328,111180.61265881186
329,112185.31630045432
330,112918.58101726712
331,113675.27303771992
332,114021.01310956512
333,111416.6807954724
334,111447.13563238
335,111469.07262055353
336,112176.58889538156
337,112646.10129996513
338,113551.62167037313
339,114168.04934488893
340,116850.29213092758
341,116832.43482953368
342,119392.9982620522
343,119823.75482233937
344,120237.53340951039
345,120075.04776974072
346,123035.44883057287
347,124065.01960280829
348,125281.8776386502
349,124988.84640446366
350,122333.7235545161
351,118428.55141163584
352,120453.03188542284
353,116912.32219552602
354,122680.93920693907
355,122846.77840068817
356,123850.21260241515
357,120587.43902662353
358,115863.44364593398
359,113325.68239920234
360,116049.88226533908
361,112365.90028604983
362,111738.09410431278
363,105977.55769928894
364,111713.26584461048
