,portfolio_value
0,100000.0
1,99727.92821753591
2,98820.2977711108
3,98997.63245842344
4,99443.68967219657
5,100012.09669795397
6,99503.04468090026
7,97811.20814625078
8,97994.483955036
9,97606.97511007298
10,98044.46280583234
11,96287.88829838717
12,96812.49161378028
13,96073.81727031068
14,95302.41295711225
15,95481.17289391455
16,95646.78619953153
17,96212.74950752927
18,96728.77901022487
19,97516.83282110642
20,97937.74656567404
21,100985.7928714168
22,100936.26126289666
23,100202.2509584384
24,99424.65236497702
25,99100.99399432549
26,98934.60065049047
27,97927.41817278993
28,97902.49060748519
29,99471.70869562856
30,99619.1557311044
31,99283.27897081737
32,99256.63134219736
33,100007.76927688181
34,99760.17705230937
35,99826.02701726863
36,99577.73498555204
37,99605.18073399439
38,99079.69794821396
39,99096.26211297442
40,98431.08951571627
41,98865.62852792157
42,98833.66189385355
43,97512.29255493448
44,96597.61968493312
45,96281.33921244564
46,96138.81082324305
47,96903.88227779443
48,97425.72183986158
49,97143.45012394675
50,96550.30920567676
51,97485.8793830678
52,96527.47997709183
53,96649.64978455359
54,96641.46500869424
55,96705.83211500429
56,94358.256990394
57,95539.70984309097
58,96150.0442626632
59,95493.88919613109
60,96254.56643156285
61,95838.63871702799
62,94579.940502418
63,93347.87574476644
64,94805.57180263147
65,95010.00845319596
66,95924.42633266775
67,96014.75536176491
68,96695.76490119976
69,96806.69634497951
70,97387.10014488683
71,97034.37364888948
72,96318.28426324518
73,95873.41753023707
74,96425.92322090593
75,96745.75590390727
76,95929.60898237486
77,95952.7376316717
78,95705.61395794974
79,94507.48640921117
80,94352.38345924401
81,94312.9592373934
82,94099.65208307841
83,94436.74550252971
84,94670.51329381288
85,94037.6022230619
86,94126.82208252478
87,93903.3756453953
88,94148.88672644948
89,94416.00747072941
90,94884.44755380698
91,95048.6719197396
92,94622.1980884802
93,95143.22647850247
94,95133.6342000295
95,94962.43546045244
96,94563.02592957563
97,94607.13749792233
98,92719.616557936
99,93513.47731172005
100,93274.2676755659
101,93297.78218168532
102,93653.35550018241
103,93248.55347547316
104,94025.9916594905
105,93923.9605938736
106,94882.2783244997
107,94635.54944432364
108,95411.8786308337
109,95569.40609905387
110,95359.9887290639
111,94662.63982860351
112,94351.54268980409
113,94650.82424901548
114,94594.23452693132
115,94282.63893104269
116,95064.56875419396
117,94888.29888226723
118,95338.17128999741
119,95306.3626632854
120,95133.03848695761
121,94710.28369498315
122,95109.1708844737
123,94561.5528906162
124,94547.3954685719
125,95008.92827493997
126,94855.09371396295
127,94776.75488373435
128,94676.73200640357
129,94865.51923025893
130,94229.47468588885
131,94675.63190792598
132,94435.31451943376
133,94791.47413524613
134,94707.9857009557
135,94034.48258598954
136,93413.1075092443
137,93270.45455239137
138,93500.73622165668
139,93073.08443179274
140,92350.6440146555
141,92821.64809029792
142,93667.05547880885
143,92734.26253781034
144,92886.32631675251
145,93020.25505085301
146,93604.21620220033
147,94223.34715399728
148,93768.41672698833
149,93120.60749767648
150,93246.60077088661
151,93631.57204304461
152,93695.18696319593
153,93231.63928679393
154,93613.10655316329
155,93547.60663972252
156,93395.13155929427
157,92708.48526852342
158,92527.6390890249
159,92036.8384458727
160,91814.87815391719
161,91359.17220814494
162,91336.71174486009
163,91237.48094434117
164,91666.89486828305
165,92137.66454401205
166,91877.46430601025
167,92141.41796152657
168,92919.20632138132
169,92866.13929951651
170,93448.14955951036
171,93360.34147448749
172,92809.87094114353
173,92420.74765214148
174,92139.95895825062
175,92008.77439456564
176,91813.9761466642
177,92271.14990388998
178,92243.65224159286
179,91949.50250852495
180,91815.39983626863
181,92669.859888025
182,92633.7046826054
183,92496.15236833056
184,92149.42733052815
185,92855.38891012582
186,93307.17908176144
187,93280.59225407257
188,93271.9861265494
189,93284.54880435643
190,93190.63436403614
191,92348.75408862911
192,92118.28524620285
193,92093.17590354975
194,91992.19326943679
195,92400.85971060552
196,92394.34741129255
197,92720.7919273377
198,92727.56590199714
199,92596.92623894925
200,92748.22161198413
201,92468.48507440231
202,92452.98766682435
203,92174.74739078493
204,92101.34668226358
205,92411.55056697554
206,92305.61035763232
207,92698.817666259
208,92915.59129226257
209,92465.54504430521
210,92681.74152067152
211,92747.86414947183
212,90620.352447405
213,91516.02694702409
214,91903.45275344224
215,91125.45574247466
216,88839.46056035924
217,88144.81352206293
218,88524.97304042928
219,89233.67307992066
220,89805.15337306957
221,89403.5091192657
222,88961.96095930428
223,89004.06335795221
224,88832.44878124501
225,88704.30203731186
226,89265.4307566992
227,88475.29089966163
228,88511.98637752276
229,88751.17750539514
230,88438.08741906757
231,88111.64198825469
232,88620.35040465478
233,89238.97134914018
234,89593.5910932116
235,88894.89014596294
236,88816.83424802023
237,88904.96740966494
238,89834.47376511154
239,89408.00176136637
240,88952.05392085975
241,88828.75305129742
242,88754.00106675652
243,88933.85200304253
244,90089.14940840166
245,90111.57281565879
246,90658.05629893366
247,90598.95638276072
248,90371.83649240514
249,91028.66316000487
250,91434.60861221833
251,91636.09420196079
252,92436.07096599774
253,92545.90212243357
254,92670.62991076078
255,92479.06774089404
256,92675.97554260315
257,92407.26667636461
258,93050.0598569945
259,93074.08897294651
260,93447.06526154146
261,93784.0462585957
262,93908.4193314818
263,93322.04642528703
264,93716.87044844637
265,94467.36755744537
266,94872.6759588149
267,94756.62576514266
268,93849.29456478819
269,92591.250631741
270,92471.15707139102
271,91293.44121451433
272,90324.31905520539
273,90878.29900887633
274,90695.2931946417
275,90854.88678175637
276,90589.05038249808
277,90987.28650364131
278,91283.05634673647
279,91011.62475559818
280,90856.94925998026
281,91014.72276593113
282,91116.43347402598
283,91378.13089459112
284,92009.32284393457
285,92416.26143092554
286,91642.89623467144
287,90815.31901434208
288,92223.95592384755
289,92651.39256392255
290,92985.12929386564
291,92758.01755951194
292,92785.09136973471
293,93743.91005707346
294,92888.06722781039
295,93304.92706934482
296,93701.72896611836
297,93047.87924921297
298,93424.93348253402
299,93371.88608804475
300,93143.85810753908
301,93212.08053312729
302,93727.3883920366
303,93072.37829786324
304,92933.27636616165
305,92409.64486596671
306,92351.44239247878
307,92621.94233227787
308,92593.33755912501
309,93048.38742302709
310,93262.47045130085
311,92938.30053846423
312,92276.70167274919
313,92629.70749033762
314,92406.55379861011
315,92007.76304086976
316,91245.58856956706
317,91362.04253870086
318,92297.52198180412
319,92090.30971075405
320,91926.50792437425
321,92145.00821931796
322,92835.46016633636
323,92705.75324284528
324,92348.37101228317
325,93322.43780590515
326,93427.8298255745
327,93598.25027155105
328,93728.6373898593
329,94560.874373568
330,94559.02213516868
331,95165.68467213363
332,95169.08801239006
333,95768.46016455044
334,96920.5766203213
335,96699.47096042334
336,96045.36215230508
337,96559.43845689535
338,97720.73358820057
339,97516.8010022255
340,97503.4782686851
341,97403.57494437673
342,97618.35638989181
343,98127.33701216994
344,97657.84294852523
345,98066.31585514729
346,97781.8984868114
347,98061.47070637214
348,98737.09088131871
349,98357.35715226877
350,98570.35325293963
351,98521.13600504222
352,98212.49005957633
353,98581.68045451115
354,98233.5317079666
355,97845.29462937781
356,97862.03448442419
357,98745.30475069337
358,99018.51860824673
359,98922.32119557745
360,98555.0963793354
361,98704.29635602646
362,98338.34389294755
363,98243.8288929983
364,98532.80390898457
365,99477.09147861821
366,98780.10977448031
367,99142.62838353234
368,99286.13101590709
369,99122.3519419916
370,99660.95480097707
371,99489.62184442586
372,99996.50876442858
373,99730.814241652
374,100019.96589093885
